[2026-03-25 13:32:43] 启动服务: F:\programs\python\play\tts\tts_eris\.venv\Scripts\python.exe -u F:\programs\python\play\tts\tts_eris\run_with_class.py
[2026-03-25 13:39:17] 启动服务: F:\programs\python\play\tts\tts_eris\.venv\Scripts\python.exe -u F:\programs\python\play\tts\tts_eris\run_with_class.py
[2026-03-25 13:39:17] stdout/stderr → F:\programs\python\play\tts\tts_eris\tts_stdout.log
[2026-03-25 13:39:17] GPU: 4958, 16303 MB
[2026-03-25 14:16:58] [alive] PID=26020 GPU: 6997, 16303 MB
[2026-03-25 14:17:28] [alive] PID=26020 GPU: 7006, 16303 MB
[2026-03-25 14:17:58] [alive] PID=26020 GPU: 7012, 16303 MB
[2026-03-25 14:18:28] [alive] PID=26020 GPU: 7043, 16303 MB
[2026-03-25 14:18:58] [alive] PID=26020 GPU: 7011, 16303 MB
[2026-03-25 14:19:28] [alive] PID=26020 GPU: 6985, 16303 MB
[2026-03-25 14:19:58] [alive] PID=26020 GPU: 6985, 16303 MB
[2026-03-25 14:20:28] [alive] PID=26020 GPU: 6985, 16303 MB
[2026-03-25 14:20:59] [alive] PID=26020 GPU: 6985, 16303 MB
[2026-03-25 14:21:29] [alive] PID=26020 GPU: 6985, 16303 MB
[2026-03-25 14:21:59] [alive] PID=26020 GPU: 7019, 16303 MB
[2026-03-25 14:22:29] [alive] PID=26020 GPU: 6989, 16303 MB
[2026-03-25 14:22:59] [alive] PID=26020 GPU: 6990, 16303 MB
[2026-03-25 14:23:29] [alive] PID=26020 GPU: 7015, 16303 MB
[2026-03-25 14:23:59] [alive] PID=26020 GPU: 7015, 16303 MB
[2026-03-25 14:24:30] [alive] PID=26020 GPU: 6975, 16303 MB
[2026-03-25 14:25:00] [alive] PID=26020 GPU: 6979, 16303 MB
[2026-03-25 14:25:30] [alive] PID=26020 GPU: 6978, 16303 MB
[2026-03-25 14:26:00] [alive] PID=26020 GPU: 6983, 16303 MB
[2026-03-25 14:26:30] [alive] PID=26020 GPU: 6983, 16303 MB
[2026-03-25 14:27:00] [alive] PID=26020 GPU: 6983, 16303 MB
[2026-03-25 14:27:30] [alive] PID=26020 GPU: 6983, 16303 MB
[2026-03-25 14:28:01] [alive] PID=26020 GPU: 6983, 16303 MB
[2026-03-25 14:28:31] [alive] PID=26020 GPU: 6983, 16303 MB
[2026-03-25 14:29:01] [alive] PID=26020 GPU: 6983, 16303 MB
[2026-03-25 14:29:31] [alive] PID=26020 GPU: 6983, 16303 MB
[2026-03-25 14:30:01] [alive] PID=26020 GPU: 6983, 16303 MB
[2026-03-25 14:30:31] [alive] PID=26020 GPU: 6967, 16303 MB
[2026-03-25 14:31:01] [alive] PID=26020 GPU: 6957, 16303 MB
[2026-03-25 14:31:32] [alive] PID=26020 GPU: 7004, 16303 MB
[2026-03-25 14:32:02] [alive] PID=26020 GPU: 6941, 16303 MB
[2026-03-25 14:32:32] [alive] PID=26020 GPU: 6941, 16303 MB
[2026-03-25 14:33:02] [alive] PID=26020 GPU: 6941, 16303 MB
[2026-03-25 14:33:32] [alive] PID=26020 GPU: 6941, 16303 MB
[2026-03-25 14:34:02] [alive] PID=26020 GPU: 6941, 16303 MB
[2026-03-25 14:34:32] [alive] PID=26020 GPU: 6936, 16303 MB
[2026-03-25 14:35:03] [alive] PID=26020 GPU: 7037, 16303 MB
[2026-03-25 14:35:33] [alive] PID=26020 GPU: 6927, 16303 MB
[2026-03-25 14:36:03] [alive] PID=26020 GPU: 6995, 16303 MB
[2026-03-25 14:36:33] [alive] PID=26020 GPU: 6982, 16303 MB
[2026-03-25 14:37:03] [alive] PID=26020 GPU: 6944, 16303 MB
[2026-03-25 14:37:33] [alive] PID=26020 GPU: 6938, 16303 MB
[2026-03-25 14:38:03] [alive] PID=26020 GPU: 6990, 16303 MB
[2026-03-25 14:38:34] [alive] PID=26020 GPU: 6937, 16303 MB
[2026-03-25 14:39:04] [alive] PID=26020 GPU: 6957, 16303 MB
[2026-03-25 14:39:34] [alive] PID=26020 GPU: 6971, 16303 MB
[2026-03-25 14:40:04] [alive] PID=26020 GPU: 6967, 16303 MB
[2026-03-25 14:40:34] [alive] PID=26020 GPU: 6993, 16303 MB
[2026-03-25 14:41:04] [alive] PID=26020 GPU: 6964, 16303 MB
[2026-03-25 14:41:34] [alive] PID=26020 GPU: 6932, 16303 MB
[2026-03-25 14:42:05] [alive] PID=26020 GPU: 6932, 16303 MB
[2026-03-25 14:42:35] [alive] PID=26020 GPU: 6939, 16303 MB
[2026-03-25 14:43:05] [alive] PID=26020 GPU: 6974, 16303 MB
[2026-03-25 14:43:35] [alive] PID=26020 GPU: 6937, 16303 MB
[2026-03-25 14:44:05] [alive] PID=26020 GPU: 6941, 16303 MB
[2026-03-25 14:44:35] [alive] PID=26020 GPU: 6935, 16303 MB
[2026-03-25 14:45:06] [alive] PID=26020 GPU: 6966, 16303 MB
